match_id,stage,group,home_team,away_team,date_et,time_et,venue_city,venue_country
1,Group Stage,A,Mexico,South Africa,,15:00,,
2,Group Stage,A,Korea Republic,Czechia,,22:00,,
25,Group Stage,A,Czechia,South Africa,,12:00,,
28,Group Stage,A,Mexico,Korea Republic,,21:00,,
53,Group Stage,A,Czechia,Mexico,,21:00,,
54,Group Stage,A,South Africa,Korea Republic,,21:00,,
3,Group Stage,B,Canada,Bosnia & Herzegovina,,15:00,,
8,Group Stage,B,Qatar,Switzerland,,15:00,,
26,Group Stage,B,Switzerland,Bosnia & Herzegovina,,15:00,,
27,Group Stage,B,Canada,Qatar,,18:00,,
51,Group Stage,B,Switzerland,Canada,,15:00,,
52,Group Stage,B,Bosnia & Herzegovina,Qatar,,15:00,,
5,Group Stage,C,Haiti,Scotland,,21:00,,
7,Group Stage,C,Brazil,Morocco,,18:00,,
29,Group Stage,C,Brazil,Haiti,,20:30,,
30,Group Stage,C,Scotland,Morocco,,18:00,,
49,Group Stage,C,Scotland,Brazil,,18:00,,
50,Group Stage,C,Morocco,Haiti,,18:00,,
4,Group Stage,D,USA,Paraguay,,21:00,,
6,Group Stage,D,Australia,Türkiye,,00:00,,
31,Group Stage,D,Paraguay,Türkiye,,23:00,,
32,Group Stage,D,USA,Australia,,15:00,,
59,Group Stage,D,Türkiye,USA,,22:00,,
60,Group Stage,D,Paraguay,Australia,,22:00,,
9,Group Stage,E,Côte d’Ivoire,Ecuador,,19:00,,
10,Group Stage,E,Germany,Curaçao,,13:00,,
33,Group Stage,E,Germany,Côte d’Ivoire,,16:00,,
34,Group Stage,E,Ecuador,Curaçao,,20:00,,
55,Group Stage,E,Curaçao,Côte d’Ivoire,,16:00,,
56,Group Stage,E,Ecuador,Germany,,16:00,,
11,Group Stage,F,Netherlands,Japan,,16:00,,
12,Group Stage,F,Sweden,Tunisia,,22:00,,
35,Group Stage,F,Netherlands,Sweden,,13:00,,
36,Group Stage,F,Tunisia,Japan,,00:00,,
57,Group Stage,F,Japan,Sweden,,19:00,,
58,Group Stage,F,Tunisia,Netherlands,,19:00,,
15,Group Stage,G,Iran,New Zealand,,21:00,,
16,Group Stage,G,Belgium,Egypt,,15:00,,
39,Group Stage,G,Belgium,Iran,,15:00,,
40,Group Stage,G,New Zealand,Egypt,,21:00,,
63,Group Stage,G,Egypt,Iran,,23:00,,
64,Group Stage,G,New Zealand,Belgium,,23:00,,
13,Group Stage,H,Saudi Arabia,Uruguay,,18:00,,
14,Group Stage,H,Spain,Cabo Verde,,12:00,,
37,Group Stage,H,Uruguay,Cabo Verde,,18:00,,
38,Group Stage,H,Spain,Saudi Arabia,,12:00,,
65,Group Stage,H,Cabo Verde,Saudi Arabia,,20:00,,
66,Group Stage,H,Uruguay,Spain,,20:00,,
17,Group Stage,I,France,Senegal,,15:00,,
18,Group Stage,I,Iraq,Norway,,18:00,,
41,Group Stage,I,Norway,Senegal,,20:00,,
42,Group Stage,I,France,Iraq,,17:00,,
61,Group Stage,I,Norway,France,,15:00,,
62,Group Stage,I,Senegal,Iraq,,15:00,,
19,Group Stage,J,Argentina,Algeria,,21:00,,
20,Group Stage,J,Austria,Jordan,,00:00,,
43,Group Stage,J,Argentina,Austria,,13:00,,
44,Group Stage,J,Jordan,Algeria,,23:00,,
69,Group Stage,J,Algeria,Austria,,22:00,,
70,Group Stage,J,Jordan,Argentina,,22:00,,
23,Group Stage,K,Portugal,Congo DR,,13:00,,
24,Group Stage,K,Uzbekistan,Colombia,,22:00,,
47,Group Stage,K,Portugal,Uzbekistan,,13:00,,
48,Group Stage,K,Colombia,Congo DR,,22:00,,
71,Group Stage,K,Colombia,Portugal,,19:30,,
72,Group Stage,K,Congo DR,Uzbekistan,,19:30,,
21,Group Stage,L,Ghana,Panama,,19:00,,
22,Group Stage,L,England,Croatia,,16:00,,
45,Group Stage,L,England,Ghana,,16:00,,
46,Group Stage,L,Panama,Croatia,,19:00,,
67,Group Stage,L,Panama,England,,17:00,,
68,Group Stage,L,Croatia,Ghana,,17:00,,
73,Round of 32,,2A,2B,,15:00,,
74,Round of 32,,1E,3 ABCDF,,16:30,,
75,Round of 32,,1F,2C,,21:00,,
76,Round of 32,,1C,2F,,13:00,,
77,Round of 32,,1I,3 CDFGH,,17:00,,
78,Round of 32,,2E,2I,,13:00,,
79,Round of 32,,1A,3 CEFHI,,21:00,,
80,Round of 32,,1L,3 EHIJK,,12:00,,
81,Round of 32,,1D,3 BEFIJ,,20:00,,
82,Round of 32,,1G,3 AEHIJ,,16:00,,
83,Round of 32,,2K,2L,,19:00,,
84,Round of 32,,1H,2J,,15:00,,
85,Round of 32,,1B,3 EFGIJ,,23:00,,
86,Round of 32,,1J,2H,,18:00,,
87,Round of 32,,1K,3 DEIJL,,21:30,,
88,Round of 32,,2D,2G,,14:00,,
89,Round of 16,,W74,W77,,17:00,,
90,Round of 16,,W73,W75,,13:00,,
91,Round of 16,,W76,W78,,16:00,,
92,Round of 16,,W79,W80,,20:00,,
93,Round of 16,,W83,W84,,15:00,,
94,Round of 16,,W81,W82,,20:00,,
95,Round of 16,,W86,W88,,12:00,,
96,Round of 16,,W85,W87,,16:00,,
97,Quarter-Finals,,W89,W90,,16:00,,
98,Quarter-Finals,,W93,W94,,15:00,,
99,Quarter-Finals,,W91,W92,,17:00,,
100,Quarter-Finals,,W95,W96,,21:00,,
101,Semi-Finals,,W97,W98,,15:00,,
102,Semi-Finals,,W99,W100,,15:00,,
103,Bronze Final,,Loser SF1,Loser SF2,,17:00,,
104,Final,,Winner SF1,Winner SF2,,15:00,,